NameIndex,Index,LogoUrl,Name
A,3,http://static.cnbetacdn.com/topics/2-6-2009 9-18-16 AM.gif,ATI
A,9,http://static.cnbetacdn.com/topics/9316c1276dda58a.png,Apple 苹果
A,13,http://static.cnbetacdn.com/topics/adobe.gif,Adobe
A,42,http://static.cnbetacdn.com/topics/amdcn.gif,AMD
A,49,http://static.cnbetacdn.com/topics/aol.gif,AOL / AIM
A,50,http://static.cnbetacdn.com/topics/6495bf355bf99e6.png,Apple QuickTime
A,53,http://static.cnbetacdn.com/topics/13-05-22 11-41-41.gif,ACDSee
A,59,http://static.cnbetacdn.com/topics/1386209213.gif,Apache OpenOffice
A,66,http://static.cnbetacdn.com/topics/c6a1bb311c37f2f.png,Apple iTunes / App Store
A,79,http://static.cnbetacdn.com/topics/a594cd7471505b2.png,Apple Mac OS X
A,93,http://static.cnbetacdn.com/topics/asus.gif,ASUS 华硕
A,118,http://static.cnbetacdn.com/topics/118_alcohol.gif,Alcohol
A,157,http://static.cnbetacdn.com/topics/9fe92c20acbbcc7.png,安全
A,158,http://static.cnbetacdn.com/topics/e3c178b7817bbae.png,Apple Safari
A,169,http://static.cnbetacdn.com/topics/anydvd.gif,AnyDVD
A,183,http://static.cnbetacdn.com/topics/183_autodesk.gif,AutoDesk
A,188,http://static.cnbetacdn.com/topics/188_avant.gif,Avant Browser
A,325,http://static.cnbetacdn.com/topics/logo_14.gif,ARSwp Windows 清理助手
A,343,http://static.cnbetacdn.com/topics/7014c55e2e68d85.png,Apple iPod
A,346,http://static.cnbetacdn.com/topics/avastav.gif,avast! Antivirus
A,356,http://static.cnbetacdn.com/topics/Ashampoo.gif,Ashampoo
A,364,http://static.cnbetacdn.com/topics/avira.gif,Avira AntiVir
A,370,http://static.cnbetacdn.com/topics/avg.gif,AVG Antivirus
A,379,http://static.cnbetacdn.com/topics/10dcfbf69dba3ff.png,Apple iPhone
A,464,http://static.cnbetacdn.com/topics/5559844cd9cc1a5.png,Apple iPad
A,535,http://static.cnbetacdn.com/topics/287dd0bfd88c7ec.png,Apple Watch
A,601,http://static.cnbetacdn.com/topics/d6ebb5ce78d149a.png,Aliyun 阿里云
B,77,http://static.cnbetacdn.com/topics/bittorrent.gif,BitTorrent
B,200,http://static.cnbetacdn.com/topics/200_bitspirit.gif,BitSpirit 比特精灵
B,209,http://static.cnbetacdn.com/topics/bitcomet1.gif,BitComet
B,232,http://static.cnbetacdn.com/topics/232_blackice.gif,BlackIce
B,261,http://static.cnbetacdn.com/topics/aada0e439b8da89.png,Baidu 百度
B,282,http://static.cnbetacdn.com/topics/ec81a7fee1f1d1e.png,Baidu 百度音乐 / 千千静听
B,376,http://static.cnbetacdn.com/topics/2-6-2009 2-11-24 AM.gif,Bluetooth 蓝牙
B,377,http://static.cnbetacdn.com/topics/2-6-2009 2-16-36 AM.gif,Blu-Ray Disc 蓝光
B,400,http://static.cnbetacdn.com/topics/51616fd9a715d3d.png,Blog 博客
B,411,http://static.cnbetacdn.com/topics/c1314e55457000a.png,BlackBerry 黑莓
B,414,http://static.cnbetacdn.com/topics/2011-9-20 11-28-03.gif,BitDefender
B,419,http://static.cnbetacdn.com/topics/blizzard.gif,Blizzard 暴雪
C,105,http://static.cnbetacdn.com/topics/2010-5-18 8-10-56.gif,CA technologies
C,125,http://static.cnbetacdn.com/topics/original.gif,cnBeta 原创独家
C,135,http://static.cnbetacdn.com/topics/6289ff1e0f2de7f.png,cnBeta 人物 - Bill Gates
C,165,http://static.cnbetacdn.com/topics/0834692ea183f84.png,cnBeta 七日谈
C,186,http://static.cnbetacdn.com/topics/clonecd.gif,CloneCD / CloneDVD
C,219,http://static.cnbetacdn.com/topics/2-6-2009 2-22-09 AM.gif,Counter-Strike 反恐精英 / 半条命
C,228,http://static.cnbetacdn.com/topics/228_cisco.gif,Cisco 思科
C,245,http://static.cnbetacdn.com/topics/cbsoft.gif,cnBeta 精品软件
C,246,http://static.cnbetacdn.com/topics/drivers.gif,cnBeta 精品驱动
C,260,http://static.cnbetacdn.com/topics/a1dd2d320ffd961.png,cnBeta 最新消息
C,291,http://static.cnbetacdn.com/topics/9d3440caeef281a.png,cnBeta 团队新闻
C,293,http://static.cnbetacdn.com/topics/7196181f9e9a3de.png,cnBeta 精品网站
C,294,http://static.cnbetacdn.com/topics/294_cuteftp.gif,CuteFTP
C,306,http://static.cnbetacdn.com/topics/ce3e389c5ef8001.png,cnBeta 访客互动
C,311,http://static.cnbetacdn.com/topics/aef6d47889f95b7.png,cnBeta 博客文摘
C,316,http://static.cnbetacdn.com/topics/b221d21ee42e75d.png,China Telecom 中国电信
C,348,http://static.cnbetacdn.com/topics/d1727b9ae21e1e3.png,China Mobile 中国移动
C,350,http://static.cnbetacdn.com/topics/13-05-28 04-14-52.gif,CCleaner
C,357,http://static.cnbetacdn.com/topics/powerdvd.gif,CyberLink PowerDVD
C,358,http://static.cnbetacdn.com/topics/ec6b83eca06d85e.png,China Mobile Fetion 飞信
C,391,http://static.cnbetacdn.com/topics/884bc7f6b70e428.png,China Unicom 中国联通
C,420,http://static.cnbetacdn.com/topics/comsenz.gif,comsenz 康盛创想 / Discuz!
C,424,http://static.cnbetacdn.com/topics/0c3756481140473.png,CHINA 中国
C,425,http://static.cnbetacdn.com/topics/cfos.gif,cFos Software
C,430,http://static.cnbetacdn.com/topics/ce33a777f9c14b8.png,cnBeta 现场报道
C,432,http://static.cnbetacdn.com/topics/creative.gif,Creative 创新
